start time,end time,FPS,frames,Time(S),max time(ms),waiting time(S),wait times,A,B,C,D,score,TX,app,Surface
254117.656653,254118.506171,56.5,48,0.85,33.359,0,0,0,0,0,5,96.5,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254118.506171,254119.506582,59,59,1,33.289,0,0,0,0,0,4,99,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254119.506582,254120.506821,56,56,1,33.44,0,0,0,0,0,0,96,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254120.506821,254121.507008,39,39,1,166.707,0,0,2,1,0,1,70.3,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254121.123586,254122.023725,42.2,38,0.9,216.565,0,0,1,1,0,4,70.99,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254121.507008,254122.507057,34,34,1,383.365,0,0,1,0,1,2,58.83,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254122.023725,254123.374302,57.5,47,0.817,33.333,0.533,1,0,0,0,4,97.5,0,com.huawei.android.launcher,"com.huawei.intelligent.Workspace#0"
254122.507057,254124.508097,58.2,67,1.15,33.299,0.851,1,0,0,0,4,98.2,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254124.508097,254125.524637,59,60,1.017,33.362,0,0,0,0,0,2,99,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254125.524637,254126.524848,60,60,1,16.967,0,0,0,0,0,4,100,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254126.524848,254127.525092,45,45,1,150.035,0,0,2,0,0,4,77.89,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254127.525092,254128.558578,42.6,44,1.033,150.083,0,0,2,0,1,6,75.4,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254128.558578,254129.558917,47,47,1,133.329,0,0,1,2,0,5,81.49,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254129.558917,254130.509167,46.3,44,0.95,116.8,0,0,2,0,0,3,82.97,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254103.342747,254133.392566,33.2,41,1.234,450.193,28.816,19,1,2,1,8,56.98,0,com.huawei.android.launcher,"StatusBar#0"
254133.392566,254135.426197,34,34,1,433.356,1.033,1,1,0,0,3,58.32,0,com.huawei.android.launcher,"StatusBar#0"
254130.509167,254136.426828,46.8,25,0.534,116.749,5.384,4,1,0,0,8,83.53,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254136.426828,254137.377184,34.7,33,0.95,266.774,0,0,2,1,0,3,61.38,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254137.377184,254138.477900,23.6,26,1.101,433.46,0,0,3,1,0,4,46.79,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254121.073584,254141.077977,28.2,32,1.134,450.039,18.871,4,1,1,1,16,52.02,1,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254138.477900,254141.011384,14.7,22,1.501,431.523,1.033,1,5,1,0,7,36.74,0,com.huawei.android.launcher,"com.huawei.android.launcher/com.huawei.android.launcher.unihome.UniHomeLauncher#0"
254141.244793,254142.362109,35.8,40,1.117,417.034,0,0,1,1,0,5,60.17,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254141.111397,254142.395448,46.1,30,0.651,166.737,0.634,1,1,0,0,16,77.76,1,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254141.211422,254143.846460,56.2,30,0.534,50.058,2.101,1,0,1,0,7,95.97,0,com.tencent.qqlive,"StatusBar#0"
254142.362109,254144.563489,22.6,29,1.284,450.13,0.918,1,1,6,0,12,45.25,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254144.563489,254146.580539,32.7,66,2.017,465.865,0,0,3,5,0,15,56.01,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254146.580539,254147.614421,40.6,42,1.034,266.854,0,0,1,1,0,9,67.69,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254142.395448,254147.347619,56.5,33,0.584,50.004,4.368,3,0,1,0,4,96.29,1,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254147.614421,254149.615613,27,54,2.001,100.075,0,0,1,19,0,20,64.34,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254149.615613,254150.666114,46.6,49,1.051,83.582,0,0,0,4,0,6,86.03,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254150.666114,254152.183146,17.8,27,1.517,116.69,0,0,1,16,0,15,50.42,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254152.500151,254153.733877,38.1,47,1.234,199.814,0,0,2,2,0,14,67.39,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254153.733877,254154.484071,38.7,29,0.75,266.692,0,0,1,0,0,6,65.85,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254153.183582,254155.750800,19.8,39,1.967,316.803,0.6,1,3,15,2,28,42.5,0,com.tencent.qqlive,"SurfaceView - com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254155.750800,254156.801214,23.8,25,1.05,83.466,0,0,0,8,3,25,61.2,0,com.tencent.qqlive,"SurfaceView - com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254154.484071,254157.684769,16.6,24,1.45,466.388,1.751,2,3,0,0,6,39.64,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254156.801214,254158.785820,19.7,39,1.985,216.804,0,0,3,11,3,35,45.95,0,com.tencent.qqlive,"SurfaceView - com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254157.684769,254159.786195,31.9,49,1.534,450.331,0.567,1,2,0,0,7,55.93,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254159.786195,254160.586708,47.5,38,0.801,167.085,0,0,1,0,0,6,79.21,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254152.249845,254161.103623,26.4,22,0.834,366.835,8.02,1,1,2,0,9,50.76,1,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.VideoDetailActivity#0"
254142.412125,254160.986908,60,22,0.366,16.934,18.208,1,0,0,0,2,100,1,com.tencent.qqlive,"com.huawei.android.FloatTasks.views.FloatView#0"
254142.678878,254161.820771,60,34,0.567,16.831,18.575,2,0,0,0,3,100,0,com.tencent.qqlive,"com.huawei.android.FloatTasks.views.FloatView#0"
254152.183146,254162.304397,32.6,38,1.167,366.916,8.954,1,1,3,1,7,57.16,0,com.tencent.qqlive,"com.tencent.qqlive/com.tencent.qqlive.ona.activity.SplashHomeActivity#0"
254139.144181,254162.787966,52,26,0.5,83.403,23.144,1,0,1,0,2,91.73,1,com.huawei.android.launcher,"com.huawei.android.FloatTasks.views.FloatView#0"
